字段,,standard_cost,病种定额标准#|#|,dic_insur_special_disease,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operation_time_13,手术日期13,emr_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术时间
数据表,,emr_dump_discuss_differ_case_record,疑难病例讨论子集转储表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-个人身份信息-住院号;健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,bill_settle_derate_cost,挂账结算减免金额#|#|,cha_inp_account_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,patient_id,,cln_used_record_upt,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,before_balance,操作前余额,set_wallet_trade_record,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,emr_custom_fragment_catalog,病历片段目录,,,
字段,,operation_date_37,"手术日期37 格式 yyyy-MM-dd HH:mm:ss",emr_case_operation_extend_info,,健康医疗数据规范-医疗应用数据-手术记录-手术时间
字段,,bank_account_edit_flag,银行账号可编辑标识#|#|,dic_pay_mode_dict,健康医疗数据规范-个人属性数据-个人身份信息-银行卡号,
数据表,,etpl_template,病历模板表,,,
字段,,curr_addr,,zy_mdcs_fund_setl_list_d,健康医疗数据规范-个人属性数据-人口统计信息-住址,
数据表,,dvp_db_maintain_info,数据库维护信息,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,sex,性别,emr_case_patient_info,健康医疗数据规范-个人属性数据-人口统计信息-性别,
字段,,insur_account_pay,本次帐户支付,ins_settle_information_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,print_operator,打印人,app_dosage_vein_send_master,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,patient_id,,emr_medical_record_data_record_dupt,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,content,,emr_nursing_shift_detail_dupt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,cha_outp_settle_master,门诊结算主表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-所在科室;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额;健康医疗数据规范-医疗支付数据-医疗交易信息-医保支付信息
字段,,patient_id,病人ID,pat_injury_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,event_no,住院号,pres_inp_pres_record_stop,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,patient_id,病人ID,emr_my_patient,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,adm_diag_dscr,,zy_mdtrt_d,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,operation_doctor_4,手术操作者4,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,past_history,既往史,pres_outp_operation_record,,健康医疗数据规范-健康状态数据-既往病史
数据表,,chronic_area_dict,区域字典,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operatiion_complications_code7,主要手术操作编码,emr_case_appendix_info_lz,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
数据表,,apt_doctor_schedule_detail,门诊医生排班细表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,loan_dept,借走的科室,mob_items_loan_record,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operation_name_11,手术名称11,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,diag_code_19,诊断编码19,emr_case_std_diagnosis_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
数据表,,mdcs_fund_setl_list_diag_d,,,,健康医疗数据规范-医疗应用数据-用药信息-药品名称;健康医疗数据规范-医疗应用数据-用药信息-药品编码
字段,,charge_time,扣费时间#|#|,app_inp_apply_sheet_pool,,
字段,,treat_diag_process_descr,诊疗过程描述,emr_dump_discharge_record,,健康医疗数据规范-医疗应用数据-病程记录
数据表,,pat_patient_interview_record_detail,病人回访记录细表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,orig_apply_sub_no,原始单子序号#|#|,app_refund_detail,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
字段,,event_no,住院号,pat_out_dept_event,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
数据表,,com_clinic_group_staff,医疗组医疗组员工表,,,健康医疗数据规范-卫生资源数据-医院基本数据
字段,,card_no,健康卡号,emr_case_admission_record,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
字段,,dept_code,当前科室,emr_nursing_data_log,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,dru_purchase_plan_master,药品采购计划主表,,,健康医疗数据规范-卫生资源数据-医院运营数据-采购数据
数据表,,dic_mate_ins_diag_dict,生育医保出院诊断字典,,,
字段,,dept_code,科室代码,mob_items_type_dict,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,rpt_package_release_record,报表发布记录表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,western_medicine_fee,,emr_dump_case,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,patient_id,病人ID,emr_nursing_p_quality_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,trade_money,交易金额#|#|,cha_inp_prepay_record,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,standard_cost,定额标准（病种总费用）,ins_inp_single_disease_dict,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,now_cost,本期发生费用金额,cha_outp_charge_verify_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,exceed_price_self,超限价个人自付金额,ins_inp_transfer_detail,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,ls_table,,,,
数据表,,qrtz_triggers,触发器的基本信息,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,fine_swift_col_idx_conf,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,authorize_certificate_id,授权证件号,ins_account_pay_for_info,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,acid_check_time,核酸采集时间,patient_nurse_accompany_info,,健康医疗数据规范-健康状态数据-检验检查数据
字段,,patient_id,病人ID,emr_nursing_childbirth,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,address,现详细住址,dm_malignancy,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,patient_id,病人ID,pres_antib_apply_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,diag_name_4,诊断名称4,emr_case_diagnosis_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,operate_level_code_14,手术等级14,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术等级
字段,,tz_oneself,特治自理费用,ins_settle_information_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operation_anesth_doctor_18,手术麻醉师18,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,granule_drug_code,颗粒药代码,pres_outp_pres_detail,,健康医疗数据规范-医疗应用数据-用药信息-药品编码
字段,,event_no,住院号,emr_dump_case_basic_info,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,regcost_balance,,pat_outp_patient_clinic_info_dupt,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,emr_nursing_measure_group,护理计划措施组,,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,baby_flag,婴儿标志,pres_inp_pres_record,健康医疗数据规范-个人属性数据-人口统计信息-身份类别,
字段,,parent_dept_code,上级科室代码,dic_third_dept_dict,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,operation_name_30,手术名称30,emr_case_std_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,,com_imp_excel_dict_map,EXCEL导入数据字典对照,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operation_assist_1_18,手术一助18,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,present_addr_city,现住地址-市（地区、州）,dm_smi_diagnose,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,diag_id,诊断ID,emr_patient_code_record,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
字段,,pres_sub_no,医嘱子序号,cln_scheme_pres_pack_detail,,
字段,,bill_code,,zy_mdcs_fund_setl_list_d,,健康医疗数据规范-医疗应用数据-用药信息-药品编码
字段,,diag_name_31,诊断名称31,emr_case_std_diagnosis_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,drug_code,药品代码#|#|,app_return_drug_detail,,健康医疗数据规范-医疗应用数据-用药信息-药品编码
数据表,,emr_paper_status,记录纸质病历当前状态,,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,allergy_flag,过敏标识,emr_nursing_t_extend_data,,健康医疗数据规范-健康状态数据-过敏史
字段,,patient_id,,pat_inp_patient_share_record_upt,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,operation_name_15,手术名称15,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,,fine_swift_days_record,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,referral_dept_code,转诊操作科室,pat_outp_patient_clinic_info,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,preop_diag_5,术前诊断5,pres_operation_apply_record,,健康医疗数据规范-医疗应用数据-手术记录-手术诊断
字段,,account_no,结账号#|#|,cha_outp_account_invoice_detl,,健康医疗数据规范-医疗支付数据-医疗交易信息-医保支付信息
字段,,operation_name_7,手术名称7,emr_case_std_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,,sel_priv_param,自助机权限参数表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,emr_case_admission_record,病案首页住院信息表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-健康卡;健康医疗数据规范-个人属性数据-医护人员信息-所在科室;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-健康状态数据-过敏史;健康医疗数据规范-医疗应用数据-入院记录
字段,,insur_medical_assistance_fund,医保医疗救助基金,ins_outp_settle_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-医保支付信息
数据表,,app_oupt_lay_drug_to_inp,门诊摆药单转入住院,,健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-转诊（院）记录
字段,,opend_id,opendId,pat_wx_binding_record,健康医疗数据规范-个人属性数据-个人通讯信息-账号及关联信息,
字段,,event_no,就诊号,msg_message_record,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号,
字段,,present_addr_province,现住地址-省（自治区、直辖市）,dm_malignancy,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,trade_code,交易代码#|#|,sel_trade_distribute,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
数据表,,mob_nusing_barcode_prefix_dict,条码分类前缀字典表#|使用条码前1-2为区分条码类型,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,cost,费用#|#|,app_outp_apply_sheet_pool,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,exec_dept_code,执行科室#|DIC_DEPT_DIC#|,pres_operation_record,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,apply_dept_code,开单科室#|#|,app_refund_master,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,outp_inp_code,门诊住院标识,com_special_drug_total_config,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,operation_anesth_method_2,手术麻醉方式2,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-麻醉记录
数据表,,emr_patient_confirm_record,病人病历确认记录表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,diag_name_24,诊断名称24,emr_case_std_diagnosis_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
数据表,,dic_drug_treaty_quantity,药品协定量表,,,
字段,,patient_id,病人ID,cha_inp_fee_discount_audit_rec,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,com_subsidiary_account_priv,附属账号权限表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,patient_phone,病人电话,pat_triage_record_mid,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,event_no,住院号,pres_apply_records,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,apply_dept_code,申请科室,pres_add_operation_record,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,com_disease_dict,病种字典,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-特殊疾病-疾病名称
字段,,operation_level_8,手术操作级别8,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-手术等级
字段,,event_no,住院号,emr_dump_discuss_differ_case_record,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,operation_date_12,"手术日期12 格式 yyyy-MM-dd HH:mm:ss",emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-手术时间
字段,,diagnosis_code,诊断编码,emr_dump_case_diag,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
字段,,diag_code,诊断编码,emr_diagnostic_template_details,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
数据表,,dic_general_add_fee_dict,通用附加费维护字典,,,
数据表,,emr_case_operation_master,首页手术主表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-手术记录-手术名称;健康医疗数据规范-医疗应用数据-手术记录-手术编码
数据表,,etpl_custom_template_class,自定义病历模板类别表,,,
字段,,event_no,住院号,cha_inp_guarantee_limit,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,admission_condition_code_7,入院病情7,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-入院记录
字段,,diag_name_7,诊断名称7,emr_case_std_diagnosis_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,create_dept_code,创建科室,emr_custom_template,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,provide_oneself,乙类自理费用,ins_settle_information_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operation_name_33,手术名称33,emr_case_operation_extend_info,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,operate_dept_code,手术科室,pat_admission_notice,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,emr_signature_content,病历签名内容,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operation_assistant_code_3,第三手术助手,pres_operation_apply_record,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,insur_card_id,授权医保卡号,ins_account_pay_for_info,健康医疗数据规范-个人属性数据-个人身份信息-社保卡,
字段,,icd10_code,标准疾病代码#|#|,pat_infectious_report_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
字段,,psn_no,,mz_setl_d,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,insur_card_id,医保卡号,pat_in_hospital,健康医疗数据规范-个人属性数据-个人身份信息-社保卡,
字段,,patient_id,,gcp_patient_record_dupt,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,event_no,住院号,ins_inp_trade_log_archive,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
数据表,,cha_outp_settle_detail,门诊结算细表,,,
数据表,,pres_day_chemotherapy_detail,日间化疗细表,,,
字段,,职务,,employee_2_wyc,健康医疗数据规范-个人属性数据-医护人员信息-岗位,
数据表,,kno_triage_complain_gist,分诊主诉依据,,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,健康医疗数据规范-健康状态数据-主诉
数据表,,ins_special_disease_vs_icd10,医保特殊病种与ICD10对照表,,,
字段,,discharge_dept_code,出院科室代码,pat_in_hospital,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,健康医疗数据规范-医疗应用数据-出院小结
字段,,consultation_signature,会诊医师签名,emr_dump_consultation_record,,健康医疗数据规范-医疗应用数据-诊断信息-诊断医生
字段,,business_dept_code,业务科室标志代码,dic_price_item_dict,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,vein_accept_operator,配置人1,app_lay_physic_records_vein,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,qua_score_class,评分类别表#|自增序列,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,patient_id,病人ID#|#|,cha_inp_charge_detail,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,usage_drug_code,用药方法,com_clinic_bound_drug_config,,健康医疗数据规范-医疗应用数据-用药信息-给药方式
数据表,,emr_outp_continue_content,门诊病历续写内容,,,健康医疗数据规范-医疗应用数据-门（急）诊病历
字段,,patient_id,病人ID,dm_malignancy_diagnose,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,dic_sample_dict,标本字典,,,
字段,,patient_id,病人ID,emr_case_diag_info,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,in_dept_code,病人所在科室#|#|,app_inp_apply_sheet_pool,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,event_no,挂号号/住院号,app_lerp_his_contact,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,drug_total_dose,药物使用总剂量,dm_diabetes_drug,,健康医疗数据规范-医疗应用数据-用药信息-药品用量
字段,,emp_name,,mz_setl_d,健康医疗数据规范-个人属性数据-人口统计信息-住址,
数据表,,dru_allergy_forbidden_config,过敏药品禁用对照表#|某种过敏类型，哪些药品禁用,,,
字段,,operation_anesth_doctor_12,手术麻醉师12,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,operation_doctor_30,手术操作者30,emr_case_operation_extend_info,,健康医疗数据规范-医疗应用数据-手术记录-医护人员
字段,,patient_id,,cha_outp_orders_detail_upt,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,admission_state_9,出院诊断入院病情9,emr_case_diag_info,,健康医疗数据规范-医疗应用数据-入院记录
字段,,present_addr_city,现住地址-市（地区、州）,dm_malignancy,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,consult_address,诊室地址,apt_outp_appt_record,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operation_name_21,手术名称21,emr_case_std_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,pres_sub_no,医嘱子序号#|#|,pres_inp_pres_print_detail,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,insur_fund,补充保险支付,ins_settle_information_master,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,fr_report_staff_dist,帆软报表个人分发表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operation_code_10,手术编码10,emr_case_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
数据表,,pat_blood_detail_record,病人用血记录明细表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-输血记录
数据表,,emr_patient_drg_detail,DRG明细表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,orig_mult_check_part_code,检查部位#|#|,cln_used_pres_record,,
字段,,dept_code,科室代码,emr_nurse_wkar_config,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,inp_dept_code,住院科室#|DIC_DEPT_DICT#|,pres_day_operation_master,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,admission_dept_code,入院科室代码,pat_in_hospital,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,cost,金额#|#|,cha_outp_charge_detail_cache,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,formulary_diseases_name,规定病种名称,ins_nuesoft_settle_master,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,accept_operator,接收人,app_infusion_delivery_register_master,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,por_system_var_dict,门户系统变量字典,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operatiion_complications_name2,主要手术操作名称,emr_case_appendix_info_lz,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,,gcp_config_detail,GCP实验配置细表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,emr_dump_case_basic_info,病案首页基本信息表,,健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-门（急）诊病历
字段,,operation_level_34,手术操作级别34,emr_case_operation_extend_info,,健康医疗数据规范-医疗应用数据-手术记录-手术等级
字段,,admission_state_37,出院诊断入院病情37,emr_case_diag_info,,健康医疗数据规范-医疗应用数据-入院记录
字段,,charge_dept_code,扣费科室#|DIC_DEPT_DICT#|,cha_outp_charge_detail_cache,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,mob_ward_round_memo,查房备忘表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,bank_account_no,银行账号,set_wallet_trade_record,健康医疗数据规范-个人属性数据-个人身份信息-银行卡号,
数据表,,emr_fragment_info,段落信息表,,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,健康医疗数据规范-健康状态数据-现病史;健康医疗数据规范-健康状态数据-主诉
数据表,,pre_log_request_log,,,,
字段,,print_operator,打印人,mob_pda_dosage_vein_carry_record,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,register_addr_province,户籍地址-省（自治区、直辖市）,dm_malignancy,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,mother_patient_id,婴儿关联的母亲id,pat_in_hospital,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,operated_dept_code,操作科室,cha_sporadic_charge_master,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,occup_code,职业,dm_malignancy,健康医疗数据规范-个人属性数据-人口统计信息-职业,
字段,,patient_id,病人ID#|#|,app_inp_lay_drug_records,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,pat_blacklist_record,病人黑名单记录,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-医护人员信息-所在科室;健康医疗数据规范-个人属性数据-个人身份信息-身份证;健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,pres_blood_apply_master,用血申请单主表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-所在科室;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-输血记录
数据表,,tri_assess_score_record,分诊评估评分记录,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operation_time_16,手术日期16,emr_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术时间
字段,,operation_code_12,手术编码12,emr_case_operation_master,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
字段,,patient_id,病人ID,pat_prepay_register_info,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,pres_no,医嘱号,dru_drug_delivery_record_detai,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,exec_dept_code,执行科室#|DEPARTMENT_DICT#|,pres_outp_template_master,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,refund_cost,退费金额#|#|,cha_inp_charge_detail,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,dept_name_lv2,,dept_dict,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operation_name_10,手术名称10,emr_case_operation_info,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,operation_code_17,手术编码17,emr_case_medical_record_data_record,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
字段,,referral_number,转诊编号,ins_exanthe_record_detail,,健康医疗数据规范-医疗应用数据-转诊（院）记录
字段,,communicate_address,家庭地址,pat_blood_breaks_info_master,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,psn_no,,mz_mdtrt_d,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
数据表,,dru_outp_front_send_drug_cond,门诊前台发药条件绑定表,,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,exec_dept_code,,com_clinic_exec_dept_upt,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,icd10_name,疾病名称,ins_disease_examine_info,,健康医疗数据规范-医疗应用数据-诊断信息-疾病名称
字段,,dept_code,操作科室,app_lay_print_records,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
字段,,event_no,住院号,emr_patient_cchi_diag,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
